F1-1	1_gill_1_L1_YAN
F1-2	1_head_L1
F1-3	1_cholecyst_L1_YAN
F1-5	1_liver2_RNA_Later_L1_YAN
F1-6	1_heart_L1_YAN
F1-7	1_spinal_cord
F1-8	1_brain
F1-9-1	1_brain_fluid
F1-10	1_blood_L1
F1-11	1_reproduction_L1
F1-12	1_muscle_L1_YAN
F1-12	1_muscle_L1_YAN
F1-13	1_maw_L1
F1-14	1_stomatch_L1_YAN
F1-15	1_fubu_skin_L1_YAN
F1-15	1_fubu_skin_L1_YAN
F2-1-1	2_gill_RNA_later
F2-1-1	2_gill_RNA_later
F2-2	2_head_L1
F2-2	2_head_L1
F2-3	2_cholecyst_L1
F2-3	2_cholecyst_L1
F2-5	2_liver_L1_YAN
F2-5	2_liver_L1_YAN
F2-6	2_heart_L1
F2-6	2_heart_L1
F2-7	2_spinal_cord
F2-7	2_spinal_cord
F2-8	2_brain_L1
F2-8	2_brain_L1
F2-9-1	2_brain_fluid
F2-9-1	2_brain_fluid
F2-10	2_heart_L1
F2-10	2_heart_L1
F2-11	2_reproduction_L1
F2-12	2_muscle_tail_L1
F2-12	2_muscle_tail_L1
F2-13	2_head_maw_L1_YAN
F2-13	2_head_maw_L1_YAN
F2-14-1	2_bone_L1
F2-14-1	2_bone_L1
F2-15	2_fubu_skin_L1
SRR5420700	adult_male_brain
SRR5420699	adult_male_brain
SRR5420694	adult_male_liver
SRR5420693	adult_male_liver
SRR5238015	gill_tissue_adult
SRR5238014	gill_tissue_adult
SRR2141402	High_rep6
SRR2141401	High_rep5
SRR528545	Ga_6_muscle
SRR528547	Ga_7_muscle
SRR528538	Ga_2_skin
SRR528541	Ga_3_skin
SRR528552	heart_pool
SRR528553	heart_pool
SRR5418453	brain
SRR5418452	brain
SRR3624462	liver
SRR3624461	liver
SRR3579898	gill
SRR3579897	gill
SRR4017375	muscle
SRR4017374	muscle
SRR1821848	skin
SRR1821850	skin
SRR5855244	heart
SRR5855245	heart
SRR4423110	egg
SRR4423116	egg
SRR2529520	skin
SRR2529519	skin
SRR2529518	skin
SRR2529517	skin
SRR5043624	skin
SRR5043623	skin
SRR2529515	skin
SRR2529514	skin
SRR2529513	skin
SRR2529512	skin
SRR2529511	skin
SRR2529510	skin
