Gen	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	t_n16	t_n17	mu	sigma2	lnL
1	154.0179365	96.4270884	85.6561414	83.0546998	63.6743343	24.4700543	10.3362691	5.4095274	0.0013464	0.0059015	-10.997
5000	156.0502988	92.5425778	79.6968673	77.3119034	60.0493227	21.4757267	8.4936832	4.3989559	0.0031450	0.0048048	-8.283
10000	150.3743151	93.9657449	84.1382256	81.6693195	63.9473071	25.7141289	12.4334737	7.0626210	0.0109483	0.0139329	-9.207
15000	155.9166144	94.0653054	83.0207714	81.0168292	64.5891275	22.4868300	10.0575591	5.0878828	0.0045442	0.0043979	-5.642
20000	166.9794592	99.3059818	88.4655607	86.5457051	65.1185513	21.0477658	9.4138925	4.9606713	0.0045659	0.0055450	-6.501
25000	166.9305485	93.6932667	82.8226839	80.9040963	64.0133586	21.3419306	7.8559666	4.1865862	0.0049907	0.0046769	-8.060
30000	158.9651104	92.1251858	83.1508186	81.0323785	64.0292876	21.7823010	8.5202190	4.5639503	0.0037224	0.0024449	-8.007
35000	151.6616484	101.4364624	88.2926141	84.8692145	59.6771620	21.5445127	10.5285745	6.1548075	0.0071611	0.0120712	-9.156
40000	163.3772659	93.8369785	85.2326246	83.3959729	62.2473863	23.2891389	9.9549284	5.1921212	0.0032894	0.0067132	-9.719
45000	152.0993611	97.9428422	88.0730377	85.2195797	64.8225548	28.1480155	13.7434195	6.8536879	0.0170262	0.0175016	-9.964
50000	153.7471076	91.2312501	78.8236073	76.5992679	60.7869099	24.6307656	11.8285715	6.0940529	0.0083115	0.0106855	-12.271
55000	162.4936554	99.3267165	87.7175737	84.0167008	63.7555600	22.6722737	13.2032337	8.5674413	0.0071493	0.0078973	-7.508
60000	155.1287992	100.6223453	87.5766069	84.3359231	63.5851363	24.8140302	10.4247410	5.5146269	0.0067060	0.0051603	-10.030
65000	163.5688233	92.1163873	81.6130638	79.8641528	58.7261891	24.0346912	8.1648796	4.0074456	0.0014694	0.0183163	-5.043
70000	158.3320113	96.7079708	84.6529485	82.0379176	63.7311744	21.6230067	8.8236455	4.4781609	0.0031209	0.0048584	-6.732
75000	155.3566235	95.6759273	83.5019845	80.9673834	64.9145612	22.1515891	9.3567596	4.9822087	0.0043398	0.0046894	-6.797
