region	chr	midPos	Nsites
(12332,41192)(54886,99999)(50000,100000)	Chr01	75000	28862	0.162701
(41193,81980)(100000,149754)(100000,150000)	Chr01	125000	40789	0.110035
(81981,103011)(150832,199178)(150000,200000)	Chr01	175000	21032	0.203834
(103012,135486)(200204,249028)(200000,250000)	Chr01	225000	32476	0.179053
(135487,164910)(253298,294379)(250000,300000)	Chr01	275000	29425	0.135359
(164911,188849)(300244,347244)(300000,350000)	Chr01	325000	23940	0.186155
(188850,212762)(350558,399999)(350000,400000)	Chr01	375000	23914	0.288813
(212763,232397)(400000,448551)(400000,450000)	Chr01	425000	19636	0.296613
(232398,252416)(453359,499999)(450000,500000)	Chr01	475000	20020	0.147049
(252417,279784)(500000,549781)(500000,550000)	Chr01	525000	27369	0.141874
(279785,301288)(550072,599999)(550000,600000)	Chr01	575000	21505	0.183003
(301289,322356)(600000,649999)(600000,650000)	Chr01	625000	21069	0.177890
(322357,348814)(651702,691563)(650000,700000)	Chr01	675000	26459	0.199013
(348815,356362)(708099,749999)(700000,750000)	Chr01	725000	7549	0.207021
(356363,393693)(750000,799999)(750000,800000)	Chr01	775000	37332	0.176163
(393694,417978)(800000,849999)(800000,850000)	Chr01	825000	24286	0.143546
(417979,435024)(850000,899999)(850000,900000)	Chr01	875000	17047	0.197547
(435025,460142)(900000,949999)(900000,950000)	Chr01	925000	25119	0.233264
(460143,482269)(950000,999955)(950000,1000000)	Chr01	975000	22128	0.161216
(482270,496840)(1000161,1047978)(1000000,1050000)	Chr01	1025000	14572	0.090602
(496841,510641)(1051381,1098820)(1050000,1100000)	Chr01	1075000	13802	0.354989
(510642,520060)(1105216,1149013)(1100000,1150000)	Chr01	1125000	9420	0.207601
(520061,542012)(1153519,1199500)(1150000,1200000)	Chr01	1175000	21953	0.186024
(542013,563626)(1202331,1247220)(1200000,1250000)	Chr01	1225000	21615	0.115453
(563627,576933)(1251086,1299999)(1250000,1300000)	Chr01	1275000	13308	0.156569
