AAAS 	NM_015665
AAGAB 	NM_024666
AAMP 	NM_001087
AAR2 	NM_015511
AARS 	NM_001605
AARS2 	NM_020745
AARSD1 	NM_001261434
AASDHPPT 	NM_015423
AATF 	NM_012138
ABCB10 	NM_012089
ABCB7 	NM_004299
ABCD3 	NM_002858
ABCE1 	NM_002940
ABCF1 	NM_001090
ABCF2 	NM_005692
ABCF3 	NM_018358
ABHD10 	NM_018394
ABHD12 	NM_015600
ABHD13 	NM_032859
ABHD14A 	NM_015407
ABHD16A 	NM_021160
ABHD4 	NM_022060
ABHD8 	NM_024527
ABI1 	NM_005470
ABT1 	NM_013375
ACAD9 	NM_014049
ACADVL 	NM_000018
ACAP3 	NM_030649
ACBD3 	NM_022735
ACBD5 	NM_145698
ACBD6 	NM_032360
ACIN1 	NM_014977
ACLY 	NM_001096
ACOT13 	NM_018473
ACOT8 	NM_005469
ACOT9 	NM_001033583
ACOX1 	NM_004035
ACOX3 	NM_003501
ACP1 	NM_004300
ACSF3 	NM_174917
ACSL3 	NM_004457
ACSS2 	NM_001242393
ACTR10 	NM_018477
ACTR1A 	NM_005736
ACTR1B 	NM_005735
ACTR5 	NM_024855
ACTR8 	NM_022899
ACVR1 	NM_001105
ACVR1B 	NM_004302
ADCK2 	NM_052853
ADCK4 	NM_024876
ADH5 	NM_000671
ADI1 	NM_018269
ADIPOR1 	NM_015999
ADIPOR2 	NM_024551
ADK 	NM_001123
ADNP 	NM_015339
ADO 	NM_032804
ADPRH 	NM_001125
ADPRHL2 	NM_017825
ADPRM 	NM_020233
ADSL 	NM_000026
AES 	NM_001130
AFF4 	NM_014423
AFTPH 	NM_017657
AGFG1 	NM_004504
AGGF1 	NM_018046
AGPAT1 	NM_006411
AGPAT3 	NM_020132
AGPAT6 	NM_178819
AGPS 	NM_003659
AHCY 	NM_000687
AHSA1 	NM_012111
AIMP1 	NM_004757
AIP 	NM_003977
AK2 	NM_001625
AK3 	NM_016282
AKAP8 	NM_005858
AKAP9 	NM_005751
AKIP1 	NM_020642
AKIRIN1 	NM_024595
AKIRIN2 	NM_018064
AKR1A1 	NM_006066
AKR7A2 	NM_003689
AKT1 	NM_005163
AKT1S1 	NM_032375
AKTIP 	NM_022476
ALAD 	NM_000031
ALDH3A2 	NM_000382
ALDH9A1 	NM_000696
ALG11 	NM_001004127
ALG5 	NM_013338
ALG8 	NM_024079
ALG9 	NM_024740
ALKBH1 	NM_006020
ALKBH2 	NM_001001655
ALKBH3 	NM_139178
ALKBH5 	NM_017758
ALS2 	NM_020919
ALYREF 	NM_005782
AMBRA1 	NM_017749
AMD1 	NM_001634
ANAPC10 	NM_014885
ANAPC11 	NM_016476
ANAPC13 	NM_015391
ANAPC15 	NM_014042
ANAPC16 	NM_173473
ANAPC2 	NM_013366
ANAPC5 	NM_016237
ANAPC7 	NM_016238
ANKFY1 	NM_016376
ANKH 	NM_054027
ANKHD1 	NM_017747
ANKHD1-EIF4EBP3 	NM_020690
ANKRD10 	NM_017664
ANKRD17 	NM_032217
ANKRD28 	NM_001195098
ANKRD39 	NM_016466
ANKRD46 	NM_198401
ANO6 	NM_001025356
ANP32A 	NM_006305
ANP32B 	NM_006401
ANP32C 	NM_012403
ANP32E 	NM_030920
ANXA6 	NM_001155
ANXA7 	NM_001156
AP1B1 	NM_001127
AP1G1 	NM_001128
AP1M1 	NM_032493
AP2A1 	NM_014203
AP2A2 	NM_012305
AP2M1 	NM_004068
AP2S1 	NM_004069
AP3B1 	NM_003664
AP3D1 	NM_003938
AP3M1 	NM_012095
AP3S1 	NM_001284
AP3S2 	NM_005829
AP4B1 	NM_006594
AP5M1 	NM_018229
APEH 	NM_001640
APEX1 	NM_001641
APEX2 	NM_014481
APH1A 	NM_016022
API5 	NM_006595
APIP 	NM_015957
APOA1BP 	NM_144772
APOL2 	NM_030882
APOOL 	NM_198450
APOPT1 	NM_032374
APPL2 	NM_018171
APTX 	NM_175069
ARAF 	NM_001256197
ARCN1 	NM_001655
ARF1 	NM_001658
ARF5 	NM_001662
ARF6 	NM_001663
ARFGAP2 	NM_032389
ARFGAP3 	NM_014570
ARFGEF2 	NM_006420
ARFIP1 	NM_014447
ARFIP2 	NM_012402
ARFRP1 	NM_003224
ARHGAP35 	NM_004491
ARHGAP5 	NM_001173
ARHGDIA 	NM_004309
ARHGEF10L 	NM_018125
ARHGEF11 	NM_014784
ARHGEF40 	NM_018071
ARIH1 	NM_005744
ARIH2 	NM_006321
ARIH2OS 	NM_001123040
ARL1 	NM_001177
ARL14EP 	NM_152316
ARL5A 	NM_012097
ARL6IP4 	NM_016638
ARL8A 	NM_138795
ARL8B 	NM_018184
ARMC1 	NM_018120
ARMC10 	NM_031905
ARMC5 	NM_024742
ARMC6 	NM_033415
ARMC7 	NM_024585
ARMC8 	NM_014154
ARMCX3 	NM_016607
ARMCX5 	NM_022838
ARNT 	NM_001668
ARPC1A 	NM_006409
ARPC2 	NM_005731
ARPC5L 	NM_030978
ARV1 	NM_022786
ASB1 	NM_001040445
ASB6 	NM_001202403
ASB7 	NM_198243
ASB8 	NM_024095
ASCC1 	NM_001198798
ASCC3 	NM_006828
ASF1A 	NM_014034
ASH2L 	NM_004674
ASNA1 	NM_004317
ASNSD1 	NM_019048
ASPSCR1 	NM_024083
ASUN 	NM_018164
ASXL1 	NM_001164603
ATAD1 	NM_032810
ATAD3A 	NM_018188
ATE1 	NM_007041
ATF1 	NM_005171
ATF2 	NM_001880
ATF4 	NM_001675
ATF6 	NM_007348
ATF7 	NM_001206682
ATF7IP 	NM_018179
ATG12 	NM_004707
ATG13 	NM_014741
ATG16L1 	NM_017974
ATG2A 	NM_015104
ATG2B 	NM_018036
ATG3 	NM_022488
ATG4B 	NM_013325
ATG4D 	NM_032885
ATG5 	NM_004849
ATG7 	NM_006395
ATIC 	NM_004044
ATL2 	NM_022374
ATMIN 	NM_015251
ATOX1 	NM_004045
ATP2C1 	NM_014382
ATP5A1 	NM_004046
ATP5B 	NM_001686
ATP5C1 	NM_005174
ATP5D 	NM_001687
ATP5F1 	NM_001688
ATP5G2 	NM_005176
ATP5G3 	NM_001689
ATP5H 	NM_006356
ATP5J 	NM_001685
ATP5J2 	NM_004889
ATP5J2-PTCD1 	NM_001198879
ATP5L 	NM_006476
ATP5O 	NM_001697
ATP5S 	NM_015684
ATP5SL 	NM_018035
ATP6AP1 	NM_001183
ATP6V0A2 	NM_012463
ATP6V0B 	NM_004047
ATP6V0C 	NM_001694
ATP6V0D1 	NM_004691
ATP6V0E1 	NM_003945
ATP6V1C1 	NM_001695
ATP6V1D 	NM_015994
ATP6V1E1 	NM_001696
ATP6V1F 	NM_004231
ATP6V1G1 	NM_004888
ATP6V1H 	NM_015941
ATPAF2 	NM_145691
ATPIF1 	NM_016311
ATRAID 	NM_016085
ATRN 	NM_139321
ATXN10 	NM_013236
ATXN1L 	NM_001137675
ATXN2 	NM_002973
ATXN2L 	NM_007245
ATXN7L3 	NM_020218
ATXN7L3B 	NM_001136262
AUH 	NM_001698
AUP1 	NM_181575
AURKAIP1 	NM_017900
AXIN1 	NM_003502
AZI2 	NM_022461
AZIN1 	NM_015878
B3GALT6 	NM_080605
B4GALT3 	NM_003779
B4GALT5 	NM_004776
B4GALT7 	NM_007255
BABAM1 	NM_014173
BAD 	NM_004322
BAG1 	NM_004323
BAG4 	NM_004874
BAG6 	NM_004639
BAHD1 	NM_014952
BANF1 	NM_003860
BAP1 	NM_004656
BAZ1B 	NM_032408
BBS4 	NM_001252678
BCAP29 	NM_018844
BCAP31 	NM_005745
BCAS2 	NM_005872
BCAT2 	NM_001190
BCCIP 	NM_016567
BCKDHA 	NM_000709
BCKDK 	NM_005881
BCL2L1 	NM_001191
BCL2L13 	NM_015367
BCL2L2-PABPN1 	NM_001199864
BCL7B 	NM_001707
BCLAF1 	NM_014739
BCS1L 	NM_004328
BECN1 	NM_003766
BFAR 	NM_016561
BIRC2 	NM_001166
BIVM-ERCC5 	NM_001204425
BLMH 	NM_000386
BLOC1S1 	NM_001487
BLOC1S2 	NM_173809
BLOC1S3 	NM_212550
BLOC1S4 	NM_018366
BLOC1S6 	NM_012388
BLZF1 	NM_003666
BMI1 	NM_005180
BMS1 	NM_014753
BNIP1 	NM_001205
BNIP2 	NM_004330
BOD1 	NM_138369
BOLA1 	NM_016074
BOLA3 	NM_001035505
BPGM 	NM_001724
BPNT1 	NM_006085
BPTF 	NM_004459
BRAT1 	NM_152743
BRD2 	NM_005104
BRD4 	NM_014299
BRD7 	NM_013263
BRD9 	NM_023924
BRE 	NM_004899
BRF1 	NM_001519
BRF2 	NM_018310
BRIX1 	NM_018321
BRK1 	NM_018462
