chr	pos	fst
Chr01	75000	0.162701
Chr01	125000	0.110035
Chr01	175000	0.203834
Chr01	225000	0.179053
Chr01	275000	0.135359
Chr01	325000	0.186155
Chr01	375000	0.288813
Chr01	425000	0.296613
Chr01	475000	0.147049
Chr01	525000	0.141874
Chr01	575000	0.183003
Chr01	625000	0.177890
Chr01	675000	0.199013
Chr01	725000	0.207021
Chr01	775000	0.176163
Chr01	825000	0.143546
Chr01	875000	0.197547
Chr01	925000	0.233264
Chr01	975000	0.161216
Chr01	1025000	0.090602
Chr01	1075000	0.354989
Chr01	1125000	0.207601
Chr01	1175000	0.186024
Chr01	1225000	0.115453
Chr01	1275000	0.156569
Chr01	1325000	0.145552
Chr01	1375000	0.106227
Chr01	1425000	0.075053
Chr01	1475000	0.152032
Chr01	1525000	0.135643
Chr01	1575000	0.153445
Chr01	1625000	0.149904
Chr01	1675000	0.110122
Chr01	1725000	0.091609
Chr01	1775000	0.226038
Chr01	1825000	0.204599
Chr01	1875000	0.190363
Chr01	1925000	0.174021
Chr01	1975000	0.272196
Chr01	2025000	0.195269
Chr01	2075000	0.244669
Chr01	2125000	0.217412
Chr01	2175000	0.219248
Chr01	2225000	0.262725
Chr01	2275000	0.222199
Chr01	2325000	0.078262
Chr01	2375000	0.244296
Chr01	2425000	0.112569
Chr01	2475000	0.143756
Chr01	2525000	0.272381
Chr01	2575000	0.263704
Chr01	2625000	0.135418
Chr01	2675000	0.136636
Chr01	2725000	0.123693
Chr01	2775000	0.153424
Chr01	2825000	0.105133
Chr01	2875000	0.147181
Chr01	2925000	0.121260
Chr01	2975000	0.187806
Chr01	3025000	0.097970
Chr01	3075000	0.227418
Chr01	3125000	0.182871
Chr01	3175000	0.100903
Chr01	3225000	0.217429
Chr01	3275000	0.197861
Chr01	3325000	0.149152
Chr01	3375000	0.267945
Chr01	3425000	0.222571
Chr01	3475000	0.271752
Chr01	3525000	0.246412
Chr01	3575000	0.193669
Chr01	3625000	0.111909
Chr01	3675000	0.161929
Chr01	3725000	0.189019
Chr01	3775000	0.193915
Chr01	3825000	0.128062
Chr01	3875000	0.149270
Chr01	3925000	0.199053
Chr01	3975000	0.169512
Chr01	4025000	0.122870
Chr01	4075000	0.209903
Chr01	4125000	0.218245
Chr01	4175000	0.272790
Chr01	4225000	0.274264
Chr01	4275000	0.175600
Chr01	4325000	0.307920
Chr01	4375000	0.297424
Chr01	4425000	0.331608
Chr01	4475000	0.279154
Chr01	4525000	0.313598
Chr01	4575000	0.229880
Chr01	4625000	0.174413
Chr01	4675000	0.146386
Chr01	4725000	0.311969
Chr01	4775000	0.290601
