chr	pos	fst	stat
Chr01	75000	0.162701	1.low	
Chr01	125000	0.110035	1.low	
Chr01	175000	0.203834	2.mid	
Chr01	225000	0.179053	2.mid	
Chr01	275000	0.135359	2.mid	
Chr01	325000	0.186155	2.mid	
Chr01	375000	0.288813	2.mid	
Chr01	425000	0.296613	2.mid	
Chr01	475000	0.147049	2.mid	
Chr01	525000	0.141874	2.mid	
Chr01	575000	0.183003	2.mid	
Chr01	625000	0.177890	2.mid	
Chr01	675000	0.199013	2.mid	
Chr01	725000	0.207021	2.mid	
Chr01	775000	0.176163	2.mid	
Chr01	825000	0.143546	2.mid	
Chr01	875000	0.197547	2.mid	
Chr01	925000	0.233264	2.mid	
Chr01	975000	0.161216	2.mid	
Chr01	1025000	0.090602	2.mid	
Chr01	1075000	0.354989	3.high	
Chr01	1125000	0.207601	2.mid	
Chr01	1175000	0.186024	2.mid	
Chr01	1225000	0.115453	1.low	
Chr01	1275000	0.156569	1.low	
Chr01	1325000	0.145552	1.low	
Chr01	1375000	0.106227	1.low	
Chr01	1425000	0.075053	1.low	
Chr01	1475000	0.152032	1.low	
Chr01	1525000	0.135643	1.low	
Chr01	1575000	0.153445	1.low	
Chr01	1625000	0.149904	1.low	
Chr01	1675000	0.110122	1.low	
Chr01	1725000	0.091609	1.low	
Chr01	1775000	0.226038	2.mid	
Chr01	1825000	0.204599	2.mid	
Chr01	1875000	0.190363	2.mid	
Chr01	1925000	0.174021	2.mid	
Chr01	1975000	0.272196	2.mid	
Chr01	2025000	0.195269	2.mid	
Chr01	2075000	0.244669	2.mid	
Chr01	2125000	0.217412	2.mid	
Chr01	2175000	0.219248	2.mid	
Chr01	2225000	0.262725	2.mid	
Chr01	2275000	0.222199	2.mid	
Chr01	2325000	0.078262	2.mid	
Chr01	2375000	0.244296	2.mid	
Chr01	2425000	0.112569	2.mid	
Chr01	2475000	0.143756	2.mid	
Chr01	2525000	0.272381	2.mid	
Chr01	2575000	0.263704	2.mid	
Chr01	2625000	0.135418	1.low	
Chr01	2675000	0.136636	1.low	
Chr01	2725000	0.123693	1.low	
Chr01	2775000	0.153424	1.low	
Chr01	2825000	0.105133	1.low	
Chr01	2875000	0.147181	1.low	
Chr01	2925000	0.121260	1.low	
Chr01	2975000	0.187806	1.low	
Chr01	3025000	0.097970	1.low	
Chr01	3075000	0.227418	2.mid	
Chr01	3125000	0.182871	2.mid	
Chr01	3175000	0.100903	2.mid	
Chr01	3225000	0.217429	2.mid	
Chr01	3275000	0.197861	2.mid	
Chr01	3325000	0.149152	2.mid	
Chr01	3375000	0.267945	2.mid	
Chr01	3425000	0.222571	2.mid	
Chr01	3475000	0.271752	2.mid	
Chr01	3525000	0.246412	2.mid	
Chr01	3575000	0.193669	2.mid	
Chr01	3625000	0.111909	2.mid	
Chr01	3675000	0.161929	2.mid	
Chr01	3725000	0.189019	2.mid	
Chr01	3775000	0.193915	2.mid	
Chr01	3825000	0.128062	2.mid	
Chr01	3875000	0.149270	2.mid	
Chr01	3925000	0.199053	2.mid	
Chr01	3975000	0.169512	2.mid	
Chr01	4025000	0.122870	2.mid	
Chr01	4075000	0.209903	2.mid	
Chr01	4125000	0.218245	2.mid	
Chr01	4175000	0.272790	2.mid	
Chr01	4225000	0.274264	2.mid	
Chr01	4275000	0.175600	2.mid	
Chr01	4325000	0.307920	3.high	
Chr01	4375000	0.297424	3.high	
Chr01	4425000	0.331608	3.high	
Chr01	4475000	0.279154	3.high	
Chr01	4525000	0.313598	3.high	
Chr01	4575000	0.229880	2.mid	
Chr01	4625000	0.174413	2.mid	
Chr01	4675000	0.146386	2.mid	
Chr01	4725000	0.311969	2.mid	
Chr01	4775000	0.290601	2.mid	
Chr01	4825000	0.220533	2.mid	
Chr01	4875000	0.195634	2.mid	
Chr01	4925000	0.154388	1.low	
Chr01	4975000	0.149683	1.low	
Chr01	5025000	0.125460	1.low	
Chr01	5075000	0.102638	1.low	
Chr01	5125000	0.113195	1.low	
Chr01	5175000	0.116490	1.low	
Chr01	5225000	0.405048	3.high	
Chr01	5275000	0.376936	3.high	
Chr01	5325000	0.507351	3.high	
Chr01	5375000	0.437972	3.high	
Chr01	5425000	0.424167	3.high	
Chr01	5475000	0.226925	2.mid	
Chr01	5525000	0.152429	2.mid	
Chr01	5575000	0.187762	2.mid	
Chr01	5625000	0.149557	2.mid	
Chr01	5675000	0.250295	2.mid	
Chr01	5725000	0.219226	2.mid	
Chr01	5775000	0.192016	2.mid	
Chr01	5825000	0.127127	2.mid	
Chr01	5875000	0.215976	2.mid	
Chr01	5925000	0.180885	2.mid	
Chr01	5975000	0.149013	1.low	
Chr01	6025000	0.105408	1.low	
Chr01	6075000	0.176033	1.low	
Chr01	6125000	0.137560	1.low	
Chr01	6175000	0.290162	2.mid	
Chr01	6225000	0.095130	2.mid	
Chr01	6275000	0.178795	2.mid	
Chr01	6325000	0.164545	2.mid	
Chr01	6375000	0.255861	2.mid	
Chr01	6425000	0.318597	2.mid	
Chr01	6475000	0.243026	2.mid	
Chr01	6525000	0.092659	1.low	
Chr01	6575000	0.109392	1.low	
Chr01	6625000	0.201580	2.mid	
Chr01	6675000	0.195491	2.mid	
Chr01	6725000	0.256788	2.mid	
Chr01	6775000	0.315439	3.high	
Chr01	6825000	0.272427	3.high	
Chr01	6875000	0.456717	3.high	
Chr01	6925000	0.256770	2.mid	
Chr01	6975000	0.234686	2.mid	
Chr01	7025000	0.147608	2.mid	
Chr01	7075000	0.242003	2.mid	
Chr01	7125000	0.145207	2.mid	
Chr01	7175000	0.128028	2.mid	
Chr01	7225000	0.181193	2.mid	
Chr01	7275000	0.303710	2.mid	
Chr01	7325000	0.168031	2.mid	
Chr01	7375000	0.393800	3.high	
Chr01	7425000	0.187794	2.mid	
Chr01	7475000	0.307553	2.mid	
Chr01	7525000	0.132252	2.mid	
Chr01	7575000	0.276909	2.mid	
Chr01	7625000	0.227028	2.mid	
Chr01	7675000	0.285854	2.mid	
Chr01	7725000	0.136343	1.low	
Chr01	7775000	0.136674	1.low	
Chr01	7825000	0.148884	1.low	
Chr01	7875000	0.168064	1.low	
Chr01	7925000	0.133348	1.low	
Chr01	7975000	0.097067	1.low	
Chr01	8025000	0.179624	1.low	
Chr01	8075000	0.086110	1.low	
Chr01	8125000	0.139314	1.low	
Chr01	8175000	0.127300	1.low	
Chr01	8225000	0.216751	2.mid	
Chr01	8275000	0.201997	2.mid	
Chr01	8325000	0.127781	2.mid	
